latitude,longitude,altitude
39.7989314,-86.23779083,1.470957041
39.79890114,-86.23784454,1.470282912
39.7988725,-86.23790454,1.469833255
39.79885522,-86.23797042,1.467531323
39.79884135,-86.238036,1.464745641
39.79882777,-86.23810188,1.461011648
39.79881355,-86.23817193,1.463917017
39.79879929,-86.23824217,1.469958901
39.79878617,-86.23830674,1.463343143
39.79877108,-86.23837716,1.458130479
39.79875343,-86.23844671,1.452076554
39.79873325,-86.23851273,1.445525527
39.7987033,-86.23857407,1.437992811
39.79867048,-86.23863015,1.441793919
39.79863532,-86.23868044,1.430370212
39.79859462,-86.2387191,1.441974401
39.79854916,-86.23875045,1.463689208
39.79849899,-86.23877709,1.487219095
39.79845347,-86.23879735,1.506091833
39.79840435,-86.23881586,1.526088357
39.79835201,-86.23883426,1.546082258
39.7983033,-86.23884755,1.558427572
39.79825104,-86.23885522,1.560294986
39.79820023,-86.23885669,1.55507648
39.79815073,-86.23885841,1.548841953
39.79810105,-86.23886013,1.542458057
39.79804816,-86.23886197,1.535534739
39.79799811,-86.23886372,1.529060245
39.79794787,-86.23886548,1.522505283
39.79789593,-86.23886738,1.515497684
39.79784381,-86.23886942,1.508092761
39.7977915,-86.23887147,1.500534892
39.79773902,-86.23887354,1.493127942
39.79768635,-86.23887561,1.485790968
39.79763352,-86.23887769,1.477894545
39.79758206,-86.23887973,1.470386267
39.79753043,-86.23888177,1.462305784
39.79747707,-86.23888389,1.45369482
39.79742511,-86.23888595,1.445831656
39.7973714,-86.23888809,1.436955214
39.79731912,-86.23889018,1.428725719
39.79726508,-86.23889234,1.41927731
39.79721088,-86.23889451,1.410159111
39.79715812,-86.23889662,1.400998592
39.79710521,-86.23889875,1.391563535
39.79705053,-86.23890062,1.381870389
39.7969957,-86.23890221,1.37101233
39.79694071,-86.23890379,1.359996557
39.79688881,-86.23890527,1.349721313
39.7968335,-86.23890684,1.338599682
39.79677805,-86.23890841,1.327008486
39.7967257,-86.2389094,1.315240145
39.79666829,-86.2389101,1.301916361
39.79661238,-86.23891054,1.288265347
39.79655797,-86.23891097,1.274516463
39.79650175,-86.23891141,1.261155486
39.79644539,-86.23891184,1.247114778
39.79638888,-86.2389116,1.231799483
39.79633389,-86.23891119,1.216752291
39.79627709,-86.23891076,1.200703621
39.79622182,-86.23891033,1.18516171
39.79616976,-86.23890991,1.170586944
39.79611252,-86.23890886,1.153380394
39.79605853,-86.23890795,1.137180209
39.7960027,-86.238907,1.120076776
39.79594844,-86.23890609,1.103843927
39.79589064,-86.23890512,1.086455941
39.79583781,-86.23890424,1.069778442
39.79578143,-86.23890331,1.052907825
39.7957232,-86.23890234,1.03516531
39.79566484,-86.23890138,1.016896367
39.79560978,-86.23890047,0.999950409
39.79555286,-86.23889954,0.981978595
39.79549409,-86.23889858,0.963450909
39.79543864,-86.23889768,0.945530415
39.79538133,-86.23889676,0.927643657
39.79532216,-86.2388958,0.909001589
39.79526634,-86.2388949,0.890625119
39.79520865,-86.23889398,0.872305989
39.79514908,-86.23889303,0.853392243
39.79508938,-86.23889208,0.834219992
39.79502956,-86.23889113,0.814845145
39.79496961,-86.23889018,0.810584724
39.79491134,-86.23888926,0.771792531
39.79485471,-86.2388888,0.757450581
39.79479442,-86.23888829,0.738977194
39.79473224,-86.23888776,0.7193923
39.79467349,-86.23888726,0.700130463
39.79461284,-86.23888676,0.680523932
39.79455386,-86.23888626,0.661335826
39.79449656,-86.23888594,0.642942071
39.79443556,-86.23888593,0.624073148
39.79437445,-86.23888626,0.605338454
39.79431323,-86.23888662,0.586473405
39.79425551,-86.23888695,0.569001973
39.79419406,-86.2388873,0.549900889
39.7941325,-86.23888764,0.531137168
39.79407445,-86.23888796,0.512842655
39.79401267,-86.23888858,0.493998975
39.79395261,-86.23888948,0.47627148
39.79389244,-86.23889038,0.457939357
39.79383216,-86.23889127,0.440033495
39.79376995,-86.23889218,0.421079159
39.79370946,-86.23889306,0.402785361
39.79365071,-86.23889433,0.385945886
39.79359003,-86.23889587,0.368401289
39.7935274,-86.23889746,0.350372553
39.79346835,-86.23889894,0.333313376
39.79340552,-86.23890051,0.314748406
39.79334443,-86.23890203,0.296924919
39.79328324,-86.23890355,0.278782457
39.79321824,-86.23890515,0.260203153
39.79315685,-86.23890665,0.241963193
39.79309739,-86.23890811,0.224279672
